task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
phosphorylation_y	2	4	95	3256	0.2448	6.0000	29.0000	-0.0199	-0.0121	-0.0224	0.0069	0.0056	False
acetylation_k	0	0	293	2421	0.1784	1.0000	8.0000	0.1011	0.0622	0.1095	0.0077	0.0050	False
acetylation_k	0	1	174	2840	0.0849	1.0000	15.0000	0.0524	0.0087	0.0564	-0.0083	0.0002	False
acetylation_k	0	2	175	4146	0.0610	1.0000	21.0000	0.0018	-0.0305	0.0039	-0.0078	-0.0157	False
acetylation_k	0	3	135	4837	0.0397	1.0000	33.0000	-0.0396	-0.0424	-0.0395	0.0188	0.0443	False
acetylation_k	0	4	130	9014	0.0199	1.0000	59.0000	-0.1218	-0.1178	-0.1219	0.0251	0.0167	False
acetylation_k	1	0	44	439	0.3622	3.0000	8.5000	0.1368	0.0908	0.1629	-0.0134	-0.0356	False
acetylation_k	1	1	42	629	0.2146	3.0000	14.0000	0.0828	0.0446	0.0933	-0.0155	-0.0084	False
acetylation_k	1	2	45	1041	0.1383	3.0000	21.0000	0.0090	0.0005	0.0104	0.0093	0.0305	False
acetylation_k	1	3	36	1359	0.0861	3.0000	34.5000	-0.0223	-0.0423	-0.0204	-0.0071	-0.0322	False
acetylation_k	1	4	28	1846	0.0504	3.0000	55.0000	-0.0631	-0.0889	-0.0618	0.0005	0.0298	False
acetylation_k	2	0	85	809	0.5501	5.0000	9.0000	0.1736	0.1451	0.2084	0.0098	0.0181	False
acetylation_k	2	1	69	1147	0.3670	5.0000	15.0000	0.1209	0.0830	0.1429	-0.0062	-0.0044	False
acetylation_k	2	2	83	1993	0.2333	4.0000	21.0000	0.0606	0.0336	0.0688	0.0001	-0.0138	False
acetylation_k	2	3	81	2881	0.1534	5.0000	33.0000	-0.0201	-0.0279	-0.0187	0.0055	0.0556	False
acetylation_k	2	4	80	5953	0.0754	5.0000	59.0000	-0.0583	-0.0561	-0.0585	0.0163	0.0490	False
acetylation_k	3	0	2	33	0.8182	9.0000	11.0000	0.2101	0.1878	0.3105	0.0185	0.0072	True
acetylation_k	3	1	29	540	0.6315	10.0000	16.0000	0.1685	0.1393	0.2185	-0.0032	-0.0009	False
acetylation_k	3	2	67	1698	0.5082	11.0000	22.0000	0.1525	0.1300	0.1757	0.0117	0.0229	False
acetylation_k	3	3	100	3731	0.4109	13.0000	33.0000	0.0979	0.0844	0.1074	0.0087	0.0293	False
acetylation_k	3	4	126	12023	0.2532	15.5000	71.0000	0.0164	0.0484	0.0055	0.0452	0.0797	False
methylation_k	0	0	306	1671	0.2549	1.0000	5.0000	0.1458	0.1235	0.1534	0.0332	0.0309	False
methylation_k	0	1	253	2667	0.1489	1.0000	10.0000	0.0786	0.0464	0.0843	0.0059	0.0519	False
methylation_k	0	2	163	2383	0.0978	1.0000	14.0000	0.0305	0.0251	0.0311	0.0088	0.0468	False
methylation_k	0	3	174	3827	0.0711	1.0000	20.0000	-0.0228	-0.0287	-0.0224	-0.0024	0.0195	False
methylation_k	0	4	141	5285	0.0411	1.0000	30.0000	-0.0814	-0.0624	-0.0822	0.0108	0.0314	False
methylation_k	1	0	38	254	0.4961	3.0000	6.0000	0.1674	0.1244	0.2098	0.0141	0.0359	False
methylation_k	1	1	49	505	0.3208	3.0000	9.0000	0.1278	0.0818	0.1495	0.0146	0.0409	False
methylation_k	1	2	52	768	0.2148	3.0000	14.0000	0.0547	0.0488	0.0563	0.0235	0.0394	False
methylation_k	1	3	52	1115	0.1507	3.0000	20.0000	-0.0241	-0.0184	-0.0251	0.0060	0.0141	False
methylation_k	1	4	33	1216	0.0839	3.0000	33.0000	-0.0671	-0.1068	-0.0634	-0.0559	-0.0362	False
methylation_k	2	0	17	123	0.7073	4.0000	6.0000	0.1315	0.0971	0.2145	-0.0026	-0.0068	True
methylation_k	2	1	31	338	0.4882	4.0000	9.0000	0.1349	0.0986	0.1696	-0.0035	-0.0063	False
methylation_k	2	2	56	832	0.4147	5.0000	14.0000	0.0683	0.0551	0.0777	0.0166	0.0125	False
methylation_k	2	3	72	1618	0.3356	6.0000	20.5000	0.0210	0.0215	0.0207	0.0132	0.0358	False
methylation_k	2	4	126	5963	0.2118	6.0000	34.5000	-0.0338	-0.0159	-0.0386	0.0093	0.0142	False
methylation_r	0	0	203	941	0.2986	1.0000	4.0000	0.1565	0.1181	0.1729	0.0212	0.0196	False
methylation_r	0	1	180	1668	0.1559	1.0000	8.0000	0.0834	0.0626	0.0872	0.0141	0.0366	False
methylation_r	0	2	127	1694	0.1116	1.0000	12.0000	0.0386	0.0326	0.0393	0.0213	0.0407	False
methylation_r	0	3	131	2589	0.0780	1.0000	18.0000	-0.0109	-0.0050	-0.0114	0.0106	0.0703	False
methylation_r	0	4	104	3878	0.0451	2.0000	29.5000	-0.0740	-0.0463	-0.0753	0.0098	0.0496	False
methylation_r	1	0	13	69	0.6522	3.0000	4.0000	0.1226	0.0884	0.1869	0.0519	0.0269	True
methylation_r	1	1	39	350	0.3686	3.0000	8.0000	0.1050	0.0777	0.1209	0.0397	0.0535	False
methylation_r	1	2	32	443	0.2438	3.0000	12.0000	0.0215	0.0337	0.0176	0.0286	0.0715	False
