task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
ubiquitination_k	0	0.08785197904335434	inflation	1.5	1.5	True	1.5869	45935	1202	5318.0	0.009049468228806408	-0.0038265838948245527	0.006133896680737583	0.011711823912678644	-0.008641220051503426	0.0003282303703249779	0.06462955211385517	0.36744515215852797	0.36744515215852797	4	True
ubiquitination_k	1	0.0	alpha			True	1.8155	46429	1114	8243.413424573275	0.014593933994196964	0.0068856089788548605	0.011704303133557132	0.018182619738138162	0.0022906984436122215	0.011207021203546047	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.25	alpha			True	1.8155	46429	1114	4931.073136792747	0.005898889432525475	-0.0059765571416182176	0.003200709230751023	0.00862061520823692	-0.009799513525649242	-0.002526772438173502	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.5	alpha			True	1.8155	46429	1114	2692.206578612302	-0.0004969562141382961	-0.015242482782584985	-0.0028142079515659306	0.0017944053807732124	-0.018732024631031255	-0.01199975209092675	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.75	alpha			True	1.8155	46429	1114	1128.6706897319173	-0.005233973432042987	-0.02237556346856462	-0.006718556315191198	-0.003807554851327781	-0.024525555794898915	-0.01999348921903498	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	1.0	alpha			True	1.8155	46429	1114	0.0	-0.008936112344606784	-0.027342937276108873	-0.008936112344606784	-0.008936112344606784	-0.02734293727610887	-0.02734293727610887	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.7727143162060142	inflation	1.1	1.1	True	1.8155	46429	1114	1010.9000000000012	-0.005636380184332645	-0.02286063604250189	-0.007291556741995281	-0.003945889354418428	-0.025414516102796606	-0.020834966680286372	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.5226448809785158	inflation	1.25	1.25	True	1.8155	46429	1114	2527.249999999999	-0.0009501403411920128	-0.016287370588668124	-0.0029938993128222876	0.001379422979343107	-0.019422165495746654	-0.013449765743280533	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	1	0.23863748138893454	inflation	1.5	1.5	True	1.8155	46429	1114	5054.500000000001	0.006349351669397962	-0.0053433521657846915	0.0037357163493110107	0.00922225622503168	-0.00986863424683338	-0.0009620019388016175	0.04199247031566754	0.3952791019529448	0.3952791019529448	5	True
ubiquitination_k	2	0.0	alpha			True	1.7201	45828	1162	7733.549334892558	0.015041494345742366	0.008133097179252737	0.012605727330517003	0.01778877192659231	0.00446023080804476	0.012075183743500908	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	0.25	alpha			True	1.7201	45828	1162	4711.925394869565	0.005538694929745866	-0.0055385420415824975	0.0028561319090727065	0.0077954396248441585	-0.00918230655216488	-0.002292342429209283	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
