task	train	eval	split	family	icc_base	icc	icc_fold	msw_base	msw	msw_ratio	n_proteins	n_sites
methylation_r	replica	replica	2	esm2	0.2285	0.7206	3.1541	0.0583	0.0269	2.1691	44	1779
methylation_r	replica	rebuilt	2	interaction	0.1280	0.9246	7.2222	0.0650	0.0053	12.1739	341	5776
methylation_r	replica	replica	2	interaction	0.2285	0.9049	3.9608	0.0583	0.0116	5.0495	44	1779
methylation_r	replica	rebuilt	2	prott5	0.1280	0.9022	7.0477	0.0650	0.0087	7.4814	341	5776
methylation_r	replica	replica	2	prott5	0.2285	0.7672	3.3581	0.0583	0.0221	2.6339	44	1779
methylation_r	replica	rebuilt	0	esm2_perm	0.1373	0.7360	5.3617	0.0769	0.0097	7.9171	348	5747
methylation_r	replica	replica	0	esm2_perm	0.1983	0.6559	3.3077	0.0776	0.0232	3.3455	48	2355
methylation_r	replica	rebuilt	0	interaction_perm	0.1373	0.8144	5.9329	0.0769	0.0076	10.1789	348	5747
methylation_r	replica	replica	0	interaction_perm	0.1983	0.7124	3.5927	0.0776	0.0066	11.7269	48	2355
methylation_r	replica	rebuilt	0	prott5_perm	0.1373	0.8214	5.9840	0.0769	0.0070	10.9564	348	5747
methylation_r	replica	replica	0	prott5_perm	0.1983	0.5203	2.6242	0.0776	0.0072	10.8188	48	2355
methylation_r	replica	rebuilt	1	esm2_perm	0.1368	0.8173	5.9736	0.0597	0.0090	6.6566	328	5575
methylation_r	replica	replica	1	esm2_perm	0.1890	0.9433	4.9908	0.0663	0.0081	8.1841	43	1332
methylation_r	replica	rebuilt	1	interaction_perm	0.1368	0.7393	5.4034	0.0597	0.0153	3.8937	328	5575
methylation_r	replica	replica	1	interaction_perm	0.1890	0.6740	3.5660	0.0663	0.0102	6.5284	43	1332
methylation_r	replica	rebuilt	1	prott5_perm	0.1368	0.8085	5.9094	0.0597	0.0129	4.6168	328	5575
methylation_r	replica	replica	1	prott5_perm	0.1890	0.9735	5.1510	0.0663	0.0033	20.1244	43	1332
methylation_r	replica	rebuilt	2	esm2_perm	0.1280	0.8470	6.6161	0.0650	0.0079	8.2037	341	5776
methylation_r	replica	replica	2	esm2_perm	0.2285	0.9332	4.0846	0.0583	0.0057	10.2636	44	1779
methylation_r	replica	rebuilt	2	interaction_perm	0.1280	0.8875	6.9323	0.0650	0.0060	10.8584	341	5776
methylation_r	replica	replica	2	interaction_perm	0.2285	0.8521	3.7296	0.0583	0.0108	5.4082	44	1779
methylation_r	replica	rebuilt	2	prott5_perm	0.1280	0.7390	5.7729	0.0650	0.0099	6.5507	341	5776
methylation_r	replica	replica	2	prott5_perm	0.2285	0.7052	3.0868	0.0583	0.0090	6.4927	44	1779
phosphorylation_st	rebuilt	rebuilt	0	esm2	0.1328	0.2733	2.0584	0.0803	0.0756	1.0617	1340	109055
phosphorylation_st	rebuilt	replica	0	esm2	0.1190	0.2499	2.0998	0.0846	0.0844	1.0021	836	76333
phosphorylation_st	rebuilt	rebuilt	0	interaction	0.1328	0.2438	1.8358	0.0803	0.0773	1.0387	1340	109055
phosphorylation_st	rebuilt	replica	0	interaction	0.1190	0.2212	1.8590	0.0846	0.0854	0.9904	836	76333
phosphorylation_st	rebuilt	rebuilt	0	prott5	0.1328	0.2802	2.1100	0.0803	0.0759	1.0585	1340	109055
phosphorylation_st	rebuilt	replica	0	prott5	0.1190	0.2478	2.0822	0.0846	0.0858	0.9855	836	76333
phosphorylation_st	rebuilt	rebuilt	1	esm2	0.1745	0.3251	1.8630	0.0680	0.0682	0.9979	1249	104529
phosphorylation_st	rebuilt	replica	1	esm2	0.1571	0.2819	1.7948	0.0743	0.0801	0.9267	753	69206
phosphorylation_st	rebuilt	rebuilt	1	interaction	0.1745	0.3023	1.7320	0.0680	0.0719	0.9463	1249	104529
phosphorylation_st	rebuilt	replica	1	interaction	0.1571	0.2617	1.6663	0.0743	0.0831	0.8933	753	69206
phosphorylation_st	rebuilt	rebuilt	1	prott5	0.1745	0.3299	1.8904	0.0680	0.0685	0.9936	1249	104529
phosphorylation_st	rebuilt	replica	1	prott5	0.1571	0.2887	1.8385	0.0743	0.0808	0.9192	753	69206
phosphorylation_st	rebuilt	rebuilt	2	esm2	0.1357	0.2472	1.8224	0.0806	0.0791	1.0184	1327	108633
phosphorylation_st	rebuilt	replica	2	esm2	0.1368	0.2398	1.7523	0.0848	0.0880	0.9641	799	74595
phosphorylation_st	rebuilt	rebuilt	2	interaction	0.1357	0.2263	1.6685	0.0806	0.0789	1.0218	1327	108633
phosphorylation_st	rebuilt	replica	2	interaction	0.1368	0.2252	1.6458	0.0848	0.0855	0.9925	799	74595
phosphorylation_st	rebuilt	rebuilt	2	prott5	0.1357	0.2861	2.1092	0.0806	0.0725	1.1123	1327	108633
phosphorylation_st	rebuilt	replica	2	prott5	0.1368	0.2724	1.9908	0.0848	0.0811	1.0463	799	74595
phosphorylation_st	rebuilt	rebuilt	0	esm2_perm	0.1328	0.1853	1.3953	0.0803	0.0748	1.0734	1340	109055
phosphorylation_st	rebuilt	replica	0	esm2_perm	0.1190	0.1767	1.4852	0.0846	0.0788	1.0734	836	76333
phosphorylation_st	rebuilt	rebuilt	0	interaction_perm	0.1328	0.1851	1.3937	0.0803	0.0755	1.0632	1340	109055
phosphorylation_st	rebuilt	replica	0	interaction_perm	0.1190	0.1767	1.4854	0.0846	0.0796	1.0623	836	76333
phosphorylation_st	rebuilt	rebuilt	0	prott5_perm	0.1328	0.1839	1.3849	0.0803	0.0752	1.0680	1340	109055
phosphorylation_st	rebuilt	replica	0	prott5_perm	0.1190	0.1765	1.4832	0.0846	0.0796	1.0620	836	76333
phosphorylation_st	rebuilt	rebuilt	1	esm2_perm	0.1745	0.2037	1.1674	0.0680	0.0687	0.9902	1249	104529
phosphorylation_st	rebuilt	replica	1	esm2_perm	0.1571	0.1862	1.1857	0.0743	0.0750	0.9904	753	69206
phosphorylation_st	rebuilt	rebuilt	1	interaction_perm	0.1745	0.2049	1.1740	0.0680	0.0675	1.0084	1249	104529
phosphorylation_st	rebuilt	replica	1	interaction_perm	0.1571	0.1910	1.2161	0.0743	0.0734	1.0112	753	69206
phosphorylation_st	rebuilt	rebuilt	1	prott5_perm	0.1745	0.2131	1.2211	0.0680	0.0662	1.0279	1249	104529
phosphorylation_st	rebuilt	replica	1	prott5_perm	0.1571	0.2000	1.2737	0.0743	0.0725	1.0240	753	69206
phosphorylation_st	rebuilt	rebuilt	2	esm2_perm	0.1357	0.1593	1.1742	0.0806	0.0771	1.0458	1327	108633
phosphorylation_st	rebuilt	replica	2	esm2_perm	0.1368	0.1541	1.1258	0.0848	0.0811	1.0460	799	74595
phosphorylation_st	rebuilt	rebuilt	2	interaction_perm	0.1357	0.1756	1.2941	0.0806	0.0698	1.1544	1327	108633
phosphorylation_st	rebuilt	replica	2	interaction_perm	0.1368	0.1699	1.2412	0.0848	0.0736	1.1534	799	74595
phosphorylation_st	rebuilt	rebuilt	2	prott5_perm	0.1357	0.1705	1.2566	0.0806	0.0741	1.0874	1327	108633
phosphorylation_st	rebuilt	replica	2	prott5_perm	0.1368	0.1619	1.1833	0.0848	0.0775	1.0940	799	74595
phosphorylation_st	replica	rebuilt	0	esm2	0.1124	0.2847	2.5325	0.0816	0.0793	1.0286	1340	109055
phosphorylation_st	replica	replica	0	esm2	0.1099	0.2318	2.1098	0.0852	0.0819	1.0402	836	76333
phosphorylation_st	replica	rebuilt	0	interaction	0.1124	0.2335	2.0773	0.0816	0.0850	0.9606	1340	109055
phosphorylation_st	replica	replica	0	interaction	0.1099	0.2163	1.9690	0.0852	0.0877	0.9722	836	76333
phosphorylation_st	replica	rebuilt	0	prott5	0.1124	0.2941	2.6158	0.0816	0.0788	1.0361	1340	109055
phosphorylation_st	replica	replica	0	prott5	0.1099	0.2371	2.1580	0.0852	0.0817	1.0432	836	76333
phosphorylation_st	replica	rebuilt	1	esm2	0.1496	0.3549	2.3717	0.0720	0.0740	0.9724	1249	104529
phosphorylation_st	replica	replica	1	esm2	0.1405	0.2722	1.9376	0.0770	0.0765	1.0064	753	69206
phosphorylation_st	replica	rebuilt	1	interaction	0.1496	0.2539	1.6969	0.0720	0.0788	0.9142	1249	104529
phosphorylation_st	replica	replica	1	interaction	0.1405	0.2285	1.6260	0.0770	0.0831	0.9259	753	69206
phosphorylation_st	replica	rebuilt	1	prott5	0.1496	0.3511	2.3465	0.0720	0.0759	0.9485	1249	104529
phosphorylation_st	replica	replica	1	prott5	0.1405	0.2724	1.9385	0.0770	0.0781	0.9861	753	69206
phosphorylation_st	replica	rebuilt	2	esm2	0.1148	0.2702	2.3528	0.0757	0.0831	0.9113	1327	108633
phosphorylation_st	replica	replica	2	esm2	0.1227	0.2282	1.8600	0.0786	0.0854	0.9199	799	74595
phosphorylation_st	replica	rebuilt	2	interaction	0.1148	0.2119	1.8448	0.0757	0.0819	0.9243	1327	108633
phosphorylation_st	replica	replica	2	interaction	0.1227	0.2033	1.6575	0.0786	0.0839	0.9367	799	74595
phosphorylation_st	replica	rebuilt	2	prott5	0.1148	0.3146	2.7397	0.0757	0.0818	0.9257	1327	108633
phosphorylation_st	replica	replica	2	prott5	0.1227	0.2351	1.9167	0.0786	0.0852	0.9228	799	74595
phosphorylation_st	replica	rebuilt	0	esm2_perm	0.1124	0.1867	1.6607	0.0816	0.0808	1.0106	1340	109055
phosphorylation_st	replica	replica	0	esm2_perm	0.1099	0.1832	1.6678	0.0852	0.0833	1.0229	836	76333
phosphorylation_st	replica	rebuilt	0	interaction_perm	0.1124	0.1930	1.7164	0.0816	0.0794	1.0279	1340	109055
phosphorylation_st	replica	replica	0	interaction_perm	0.1099	0.1837	1.6724	0.0852	0.0816	1.0446	836	76333
phosphorylation_st	replica	rebuilt	0	prott5_perm	0.1124	0.1735	1.5430	0.0816	0.0743	1.0985	1340	109055
