task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
phosphorylation_y	2	0.0	inflation	1.5	1.2126	False	1.2126	7095	493	243.4170022571584	-0.007500636714138853	-0.020994184921126563	-0.012049995752877499	-0.0023753229841519093	-0.026966042691681326	-0.013345583583548783	0.1050656660412758	0.14940711462450593	0.14940711462450593	5	False
phosphorylation_st	0	0.0	alpha			True	1.67	109067	1343	12653.74592507576	0.0028992670599429717	-0.036359566806845676	0.0012776014565433814	0.004315049659079024	-0.03871955042907003	-0.03427973548394704	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.25	alpha			True	1.67	109067	1343	7668.730066386495	-0.0052673583129902645	-0.05428696189712049	-0.0067026546019035346	-0.0038334088863317623	-0.056598272544089126	-0.052349250984707434	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.5	alpha			True	1.67	109067	1343	4231.53276161252	-0.011435404567133118	-0.06930226926201559	-0.012619766025623994	-0.010302362720613238	-0.07130835600083985	-0.06744086143915513	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.75	alpha			True	1.67	109067	1343	1787.9235703441866	-0.01602969398618507	-0.08188483825423809	-0.016895273082795356	-0.01517179599573859	-0.08313674552280703	-0.08033639792626159	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	1.0	alpha			True	1.67	109067	1343	0.0	-0.019568491495170814	-0.09257804745574161	-0.019568491495170814	-0.019568491495170814	-0.09257804745574161	-0.09257804745574161	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.7379453533461524	inflation	1.1	1.1	True	1.67	109067	1343	1888.6000000000022	-0.015809809673348184	-0.08140462697511879	-0.01676770424848321	-0.014961196454211867	-0.0826347482597948	-0.08016552286774038	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.4585169747756984	inflation	1.25	1.25	True	1.67	109067	1343	4721.5	-0.010592663491593974	-0.06700904629260628	-0.01181924402085957	-0.009252762852855645	-0.06906976635994386	-0.06537909901378179	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	0	0.1496170150686863	inflation	1.5	1.5	True	1.67	109067	1343	9443.000000000002	-0.002246505098541988	-0.047379798781180614	-0.003793804682384125	-0.000589773235267052	-0.049575177280348645	-0.04520413287967064	0.024897573274503624	0.27396557473770616	0.27396557473770616	5	True
phosphorylation_st	1	0.0	alpha			True	1.7405	104533	1250	12794.647114590478	0.002629867677407043	-0.018378092312661812	0.0013463479484817186	0.003979078841117213	-0.02045323794598215	-0.016557640577647713	0.022606913045954104	0.2729651711765182	0.2729651711765182	5	True
phosphorylation_st	1	0.25	alpha			True	1.7405	104533	1250	7612.143058866689	-0.003124068844033632	-0.029915259288424503	-0.004617278280786258	-0.0017779519209990212	-0.03202746627410487	-0.028260355158405876	0.022606913045954104	0.2729651711765182	0.2729651711765182	5	True
phosphorylation_st	1	0.5	alpha			True	1.7405	104533	1250	4135.6036847724545	-0.0075656102626455255	-0.03963092802896951	-0.008643812176139017	-0.006376137172182946	-0.04096043253075097	-0.03824138636860945	0.022606913045954104	0.2729651711765182	0.2729651711765182	5	True
