task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
acetylation_k	replica	rebuilt	1	interaction_perm	0.6674	0.2436	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.1114	-0.1207
acetylation_k	replica	replica	1	interaction_perm	0.7600	0.6746	8060	0.4073	0.8283	0.7507	8060	0.4073	-0.0684	-0.0761
acetylation_k	replica	rebuilt	1	prott5_perm	0.7152	0.2950	19570	0.1678	0.7788	0.3643	19570	0.1678	-0.0636	-0.0693
acetylation_k	replica	replica	1	prott5_perm	0.7256	0.5973	8060	0.4073	0.8283	0.7507	8060	0.4073	-0.1028	-0.1533
acetylation_k	replica	rebuilt	2	esm2_perm	0.7496	0.3493	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.0584	-0.0937
acetylation_k	replica	replica	2	esm2_perm	0.7625	0.6368	8898	0.3958	0.8389	0.7557	8898	0.3958	-0.0764	-0.1189
acetylation_k	replica	rebuilt	2	interaction_perm	0.6468	0.2383	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.1612	-0.2048
acetylation_k	replica	replica	2	interaction_perm	0.6830	0.5167	8898	0.3958	0.8389	0.7557	8898	0.3958	-0.1559	-0.2390
acetylation_k	replica	rebuilt	2	prott5_perm	0.7309	0.3265	20363	0.1730	0.8080	0.4431	20363	0.1730	-0.0771	-0.1165
acetylation_k	replica	replica	2	prott5_perm	0.7382	0.6298	8898	0.3958	0.8389	0.7557	8898	0.3958	-0.1006	-0.1260
glycosylation_n	rebuilt	rebuilt	0	esm2	0.9753	0.8546	4897	0.1652	0.9681	0.8048	4897	0.1652	0.0071	0.0499
glycosylation_n	rebuilt	replica	0	esm2	0.9765	0.9829	1282	0.6310	0.9650	0.9687	1282	0.6310	0.0115	0.0142
glycosylation_n	rebuilt	rebuilt	0	interaction	0.9703	0.8157	4897	0.1652	0.9681	0.8048	4897	0.1652	0.0022	0.0110
glycosylation_n	rebuilt	replica	0	interaction	0.9632	0.9686	1282	0.6310	0.9650	0.9687	1282	0.6310	-0.0018	-0.0000
glycosylation_n	rebuilt	rebuilt	0	prott5	0.9756	0.8257	4897	0.1652	0.9681	0.8048	4897	0.1652	0.0075	0.0209
glycosylation_n	rebuilt	replica	0	prott5	0.9710	0.9782	1282	0.6310	0.9650	0.9687	1282	0.6310	0.0060	0.0095
glycosylation_n	rebuilt	rebuilt	1	esm2	0.9761	0.8560	5056	0.1746	0.9711	0.8269	5056	0.1746	0.0049	0.0292
glycosylation_n	rebuilt	replica	1	esm2	0.9785	0.9455	2532	0.3487	0.9757	0.9305	2532	0.3487	0.0028	0.0149
glycosylation_n	rebuilt	rebuilt	1	interaction	0.9729	0.8425	5056	0.1746	0.9711	0.8269	5056	0.1746	0.0017	0.0156
glycosylation_n	rebuilt	replica	1	interaction	0.9676	0.9061	2532	0.3487	0.9757	0.9305	2532	0.3487	-0.0080	-0.0244
glycosylation_n	rebuilt	rebuilt	1	prott5	0.9769	0.8626	5056	0.1746	0.9711	0.8269	5056	0.1746	0.0058	0.0357
glycosylation_n	rebuilt	replica	1	prott5	0.9784	0.9450	2532	0.3487	0.9757	0.9305	2532	0.3487	0.0027	0.0145
glycosylation_n	rebuilt	rebuilt	2	esm2	0.9773	0.8582	4247	0.1665	0.9717	0.8083	4247	0.1665	0.0057	0.0499
glycosylation_n	rebuilt	replica	2	esm2	0.9799	0.9496	2003	0.3530	0.9792	0.9494	2003	0.3530	0.0007	0.0002
glycosylation_n	rebuilt	rebuilt	2	interaction	0.9742	0.8349	4247	0.1665	0.9717	0.8083	4247	0.1665	0.0025	0.0266
glycosylation_n	rebuilt	replica	2	interaction	0.9771	0.9456	2003	0.3530	0.9792	0.9494	2003	0.3530	-0.0021	-0.0038
glycosylation_n	rebuilt	rebuilt	2	prott5	0.9783	0.8619	4247	0.1665	0.9717	0.8083	4247	0.1665	0.0066	0.0536
glycosylation_n	rebuilt	replica	2	prott5	0.9808	0.9561	2003	0.3530	0.9792	0.9494	2003	0.3530	0.0016	0.0067
glycosylation_n	rebuilt	rebuilt	0	esm2_perm	0.9681	0.7914	4897	0.1652	0.9681	0.8048	4897	0.1652	-0.0001	-0.0133
