task	train	eval	family	d_auroc	auroc_lo	auroc_hi	d_auprc	auprc_lo	auprc_hi	n_boot	n_sites	n_proteins
methylation_k	rebuilt	rebuilt	esm2	0.0291	0.0235	0.0348	0.0588	0.0478	0.0701	2000	28565	1712
methylation_r	rebuilt	rebuilt	esm2	0.0352	0.0278	0.0431	0.0736	0.0572	0.0915	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	esm2	0.0594	0.0497	0.0689	0.1067	0.0883	0.1250	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	esm2	0.0446	0.0382	0.0508	0.1034	0.0884	0.1180	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	esm2	0.0055	0.0035	0.0075	0.0390	0.0219	0.0561	2000	14200	884
phosphorylation_st	replica	replica	prott5	0.0309	0.0274	0.0344	0.0581	0.0496	0.0667	2000	223525	3921
phosphorylation_y	replica	replica	prott5	0.0615	0.0518	0.0715	0.1444	0.1230	0.1656	2000	20913	2085
acetylation_k	replica	replica	prott5	0.0066	-0.0146	0.0276	0.0277	-0.0059	0.0632	2000	24797	2017
methylation_k	replica	replica	prott5	0.0372	-0.0459	0.1141	0.0082	-0.0893	0.1507	2000	13926	1712
methylation_r	replica	replica	prott5	0.0248	-0.0562	0.0928	-0.0201	-0.1266	0.1108	2000	7194	1147
sumoylation_k	replica	replica	prott5	0.0319	0.0198	0.0432	0.0560	0.0386	0.0738	2000	28835	1882
ubiquitination_k	replica	replica	prott5	0.0483	0.0421	0.0546	0.0837	0.0731	0.0951	2000	72560	3478
glycosylation_n	replica	replica	prott5	0.0102	0.0039	0.0162	0.0311	0.0163	0.0460	2000	5817	884
phosphorylation_st	replica	rebuilt	prott5	-0.0344	-0.0395	-0.0292	-0.1636	-0.1756	-0.1511	2000	322236	3921
phosphorylation_y	replica	rebuilt	prott5	0.0132	0.0034	0.0227	0.0027	-0.0177	0.0222	2000	20964	1462
acetylation_k	replica	rebuilt	prott5	-0.2342	-0.2515	-0.2169	-0.2247	-0.2393	-0.2099	2000	59380	2017
methylation_k	replica	rebuilt	prott5	-0.2449	-0.2684	-0.2213	-0.2149	-0.2398	-0.1892	2000	28565	1712
methylation_r	replica	rebuilt	prott5	-0.2439	-0.2731	-0.2134	-0.2395	-0.2710	-0.2090	2000	17474	1145
sumoylation_k	replica	rebuilt	prott5	-0.0747	-0.0878	-0.0626	-0.1240	-0.1394	-0.1076	2000	70586	1882
ubiquitination_k	replica	rebuilt	prott5	-0.0121	-0.0192	-0.0054	-0.0371	-0.0489	-0.0257	2000	138192	3478
glycosylation_n	replica	rebuilt	prott5	-0.0658	-0.0791	-0.0528	-0.1276	-0.1588	-0.0947	2000	14200	884
phosphorylation_st	rebuilt	replica	prott5	0.0217	0.0182	0.0254	0.0374	0.0294	0.0451	2000	223525	3921
phosphorylation_y	rebuilt	replica	prott5	0.0491	0.0420	0.0565	0.0935	0.0766	0.1104	2000	20913	2085
acetylation_k	rebuilt	replica	prott5	0.0214	0.0064	0.0376	0.0330	0.0093	0.0593	2000	24797	2017
methylation_k	rebuilt	replica	prott5	0.0406	0.0177	0.0605	0.0270	-0.0005	0.0570	2000	13926	1712
methylation_r	rebuilt	replica	prott5	0.0416	0.0206	0.0595	0.0388	0.0123	0.0654	2000	7194	1147
sumoylation_k	rebuilt	replica	prott5	0.0101	-0.0038	0.0240	0.0054	-0.0145	0.0256	2000	28835	1882
ubiquitination_k	rebuilt	replica	prott5	0.0197	0.0109	0.0288	0.0331	0.0195	0.0478	2000	72560	3478
glycosylation_n	rebuilt	replica	prott5	0.0027	-0.0010	0.0068	0.0117	0.0001	0.0242	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	prott5	0.0318	0.0288	0.0350	0.0792	0.0713	0.0875	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	prott5	0.0365	0.0299	0.0435	0.0708	0.0533	0.0887	2000	20964	1462
acetylation_k	rebuilt	rebuilt	prott5	0.0654	0.0585	0.0726	0.1626	0.1434	0.1810	2000	59380	2017
methylation_k	rebuilt	rebuilt	prott5	0.0296	0.0234	0.0351	0.0586	0.0473	0.0692	2000	28565	1712
methylation_r	rebuilt	rebuilt	prott5	0.0366	0.0284	0.0447	0.0750	0.0556	0.0956	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	prott5	0.0669	0.0575	0.0763	0.1148	0.0945	0.1354	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	prott5	0.0505	0.0437	0.0572	0.1184	0.1039	0.1330	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	prott5	0.0065	0.0044	0.0087	0.0363	0.0137	0.0564	2000	14200	884
phosphorylation_st	replica	replica	interaction_perm	-0.0208	-0.0249	-0.0165	-0.0430	-0.0519	-0.0335	2000	223525	3921
phosphorylation_y	replica	replica	interaction_perm	-0.0255	-0.0326	-0.0176	-0.0549	-0.0707	-0.0382	2000	20913	2085
acetylation_k	replica	replica	interaction_perm	-0.1349	-0.1681	-0.0978	-0.1831	-0.2253	-0.1320	2000	24797	2017
methylation_k	replica	replica	interaction_perm	-0.3137	-0.3932	-0.2341	-0.3097	-0.3581	-0.2319	2000	13926	1712
methylation_r	replica	replica	interaction_perm	-0.2677	-0.3930	-0.1354	-0.3203	-0.3791	-0.2144	2000	7194	1147
sumoylation_k	replica	replica	interaction_perm	-0.0791	-0.0982	-0.0605	-0.1145	-0.1422	-0.0872	2000	28835	1882
ubiquitination_k	replica	replica	interaction_perm	-0.0378	-0.0481	-0.0285	-0.0611	-0.0791	-0.0443	2000	72560	3478
glycosylation_n	replica	replica	interaction_perm	-0.0448	-0.0718	-0.0175	-0.0718	-0.1285	-0.0171	2000	5817	884
phosphorylation_st	replica	rebuilt	interaction_perm	-0.0181	-0.0214	-0.0146	-0.0449	-0.0532	-0.0365	2000	322236	3921
phosphorylation_y	replica	rebuilt	interaction_perm	-0.0234	-0.0311	-0.0168	-0.0458	-0.0619	-0.0287	2000	20964	1462
acetylation_k	replica	rebuilt	interaction_perm	-0.1383	-0.1547	-0.1221	-0.1645	-0.1818	-0.1464	2000	59380	2017
methylation_k	replica	rebuilt	interaction_perm	-0.2007	-0.2183	-0.1832	-0.2012	-0.2222	-0.1807	2000	28565	1712
methylation_r	replica	rebuilt	interaction_perm	-0.2124	-0.2391	-0.1880	-0.2257	-0.2546	-0.1990	2000	17474	1145
sumoylation_k	replica	rebuilt	interaction_perm	-0.0637	-0.0785	-0.0499	-0.1149	-0.1354	-0.0929	2000	70586	1882
ubiquitination_k	replica	rebuilt	interaction_perm	-0.0270	-0.0334	-0.0204	-0.0532	-0.0650	-0.0394	2000	138192	3478
glycosylation_n	replica	rebuilt	interaction_perm	-0.0421	-0.0525	-0.0322	-0.1411	-0.1770	-0.1036	2000	14200	884
phosphorylation_st	rebuilt	replica	interaction_perm	-0.0173	-0.0217	-0.0134	-0.0348	-0.0449	-0.0259	2000	223525	3921
phosphorylation_y	rebuilt	replica	interaction_perm	-0.0160	-0.0209	-0.0112	-0.0407	-0.0534	-0.0278	2000	20913	2085
