threshold	r2_target	seed	r2_measured	homog_train	homog_test_threshold	homog_test_natural	auroc_base_threshold	auprc_base_threshold	auroc_base_natural	auprc_base_natural	auroc_real_threshold	auprc_real_threshold	auroc_real_natural	auprc_real_natural	auroc_perm_threshold	auprc_perm_threshold	auroc_perm_natural	auprc_perm_natural	d_real_threshold	d_perm_threshold	real_beats_perm_threshold	d_real_natural	d_perm_natural	real_beats_perm_natural	rho_score_depth_base	rho_score_depth_real	rho_delta	rho_truth
0	0.6	0	0.3217376111428353	0.01628374029760474	0.0	0.0	0.6959056653439437	0.4049546388286096	0.6959056653439437	0.4049546388286096	0.7675424758381272	0.5047588092022899	0.7675424758381272	0.5047588092022899	0.6935503075123766	0.39749010147952274	0.6935503075123766	0.39749010147952274	0.07163681049418347	-0.002355357831567151	1	0.07163681049418347	-0.002355357831567151	1	0.13424213372867963	0.5775965018454492	0.44335436811676954	0.8592036275199881
0	0.6	1	0.29791711267670273	0.011552947156819704	0.0	0.0	0.7457189741800168	0.4930076126406902	0.7457189741800168	0.4930076126406902	0.8058602212711046	0.5943961601676495	0.8058602212711046	0.5943961601676495	0.7173853267655064	0.4532364136480917	0.7173853267655064	0.4532364136480917	0.06014124709108781	-0.028333647414510388	1	0.06014124709108781	-0.028333647414510388	1	0.17422166972160333	0.5768783264005453	0.4026566566789419	0.8476855851546733
0	0.6	2	0.29521112251806314	0.0	0.03769317753486619	0.03769317753486619	0.7678070560665993	0.5498988759304433	0.7678070560665993	0.5498988759304433	0.8132151439258298	0.6271330814180978	0.8132151439258298	0.6271330814180978	0.7558762162958883	0.532179061426407	0.7558762162958883	0.532179061426407	0.04540808785923056	-0.011930839770710966	1	0.04540808785923056	-0.011930839770710966	1	0.17254668811537743	0.5389312359284881	0.3663845478131107	0.8212074113156744
1	0.02	0	0.0046105867640307	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.6618510112847718	0.37972898148500656	0.6585616670787814	0.35948951718132166	0.6935750758920355	0.4163714061715286	0.6913523210264114	0.3957712996215573	-0.036595928631333985	-0.004871864024070249	0	-0.03802864597370026	-0.005237992026070226	0	0.1354057912661263	0.046468493062809375	-0.08893729820331694	0.8592036275199881
1	0.02	1	0.005561598772968468	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.748556795627997	0.5151400629970229	0.7458517251268237	0.49717731828521816	0.7181825649404026	0.46352428981104665	0.7169081692017281	0.4484224459769765	0.0006198146604614596	-0.029754416027133024	1	0.00042668490168118467	-0.028516871023414492	1	0.1669090830536738	0.1698067161023524	0.0028976330486785995	0.8476855851546733
1	0.02	2	0.0067828325300386405	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.7665951230704917	0.5604978937688989	0.7654083878808966	0.5485822964675152	0.7597267073391776	0.5476520256590955	0.758247323766468	0.5357068408084362	-0.003260872981697416	-0.010129288713011553	1	-0.002709975901615591	-0.009871040016044219	1	0.1700307645388942	0.17802171004115747	0.007990945502263258	0.8212074113156744
1	0.05	0	0.01964431714397219	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.6746314015584853	0.3913333314480971	0.672663097675112	0.37217349379283193	0.6932667438309488	0.41591230111140043	0.6909866328022212	0.395363423930846	-0.023815538357620403	-0.005180196085156963	0	-0.023927215377369637	-0.005603680250260479	0	0.1354057912661263	0.10174287391466547	-0.03366291735146085	0.8592036275199881
1	0.05	1	0.020444366305188533	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.722194953700565	0.4725712498531894	0.7200946521939315	0.4565877595414571	0.7174483864435289	0.4649764863393131	0.7156870393683104	0.4488933184055582	-0.025742027266970613	-0.03048859452400665	1	-0.025330388031211015	-0.029738000856832203	1	0.1669090830536738	0.1536271615452163	-0.0132819215084575	0.8476855851546733
1	0.05	2	0.021556650539523714	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.7700284979983301	0.5649499798814799	0.7693381431437599	0.5542203392223417	0.7633549163761861	0.5549036499942392	0.761925191711831	0.5430714294174337	0.00017250194614093495	-0.0065010796760029965	1	0.0012197793612477303	-0.006193172070681152	1	0.1700307645388942	0.21444407289795797	0.04441330835906376	0.8212074113156744
1	0.1	0	0.04607562938339893	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.6694493391379168	0.3865864968543871	0.6681298365516248	0.3691036959606016	0.6931967422414812	0.4155676086654181	0.6910009771962029	0.3951088666597642	-0.028997600778188914	-0.005250197674624535	0	-0.028460476500856813	-0.005589335856278743	0	0.1354057912661263	0.10939181575330026	-0.026013975512826054	0.8592036275199881
1	0.1	1	0.045578687415034236	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.7512454175811564	0.5152926568096019	0.7499711992006386	0.49967367963419296	0.7129701064330891	0.46057349656542285	0.711005242305129	0.4435640030567016	0.003308436613620791	-0.03496687453444647	1	0.00454615897549604	-0.034419797920013595	1	0.1669090830536738	0.254383495016951	0.08747441196327721	0.8476855851546733
1	0.1	2	0.04717879809855863	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.7713208926997976	0.5656432406912555	0.7708423390172339	0.5550884089654355	0.7495668147095771	0.5322395557789124	0.7477722283837409	0.51988575842624	0.0014648966476085157	-0.02028918134261204	1	0.002723975234721676	-0.02034613539877128	1	0.1700307645388942	0.23619056136162572	0.06615979682273151	0.8212074113156744
1	0.2	0	0.10032301273677746	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.7084292842710184	0.4353454933379043	0.7100631808527902	0.4208227182366302	0.6898757917353512	0.4115178390029417	0.6877462696457408	0.3909042070037199	0.009982344354912631	-0.008571148180754551	1	0.013472867800308541	-0.008844043406740831	1	0.1354057912661263	0.2837447167093826	0.1483389254432563	0.8592036275199881
